Symbol,marketCap
MANAPPURAM,1455867.73
WELCORP,1434327.08
CHALET,1430471.42
POLYMED,1429474.75
HONASA,1418264.33
TITAGARH,1405320.77
WELSPUNLIV,1403777.36
ASAHIINDIA,1401656.54
GESHIP,1394549.63
ARE&M,1393830.00
ZENSARTECH,1383254.10
REDINGTON,1382072.33
ASTRAZEN,1381650.00
NUVOCO,1366122.29
BIKAJI,1365905.32
CENTURYTEX,1365535.54
HAPPSTMNDS,1364458.44
HSCL,1363949.70
KARURVYSYA,1355569.68
J&KBANK,1354454.43
ABSLAMC,1352115.39
SWANENERGY,1348615.87
SFL,1348281.82
TRITURBINE,1348274.93
BASF,1327289.22
JINDALSAW,1317546.84
BLS,1315100.46
JWL,1315010.52
RKFORGE,1311892.73
FINPIPE,1309206.27
CAMS,1302432.90
ALKYLAMINE,1296284.17
GMDCLTD,1294260.00
GET&D,1288810.23
FSL,1288387.54
WESTLIFE,1273764.56
ECLERX,1270541.23
VGUARD,1267855.78
NUVAMA,1264325.21
MAHSEAMLES,1239962.08
ERIS,1237811.56
AEGISCHEM,1235169.00
SIGNATURE,1232770.55
JAIBALAJI,1222398.88
AAVAS,1212567.41
RAINBOW,1210965.88
HBLPOWER,1209678.74
RITES,1207276.68
KSB,1206700.93
HFCL,1202312.32
SYRMA,1191595.89
EQUITASBNK,1190616.19
AKZOINDIA,1187440.92
MGL,1185827.22
BEML,1178206.19
AETHER,1176118.57
GNFC,1169914.89
KPIL,1152068.11
RAYMOND,1147165.25
INTELLECT,1142934.51
CRAFTSMAN,1142249.31
BAJAJELEC,1137552.60
ANURAS,1132118.24
VTL,1116648.49
UJJIVANSFB,1113272.88
BIRLACORPN,1109608.55
GRINFRA,1106315.65
OLECTRA,1105463.37
CUB,1103552.97
UTIAMC,1102147.25
BBTC,1098419.02
GODFRYPHLP,1096473.78
NEWGEN,1094659.22
RAILTEL,1084771.82
ANANDRATHI,1082617.31
RAJESHEXPO,1082275.38
GRAPHITE,1074956.52
GODREJAGRO,1071479.45
ZYDUSWELL,1069719.97
GPIL,1066742.14
ALOKINDS,1060078.83
IBULHSGFIN,1059353.00
JKLAKSHMI,1058324.57
AMBER,1056433.24
RTNINDIA,1053980.56
SPLPETRO,1052279.35
MAPMYINDIA,1051346.93
NCC,1046934.19
DATAPATTNS,1041973.63
ELECON,1040037.58
CHENNPETRO,1036423.34
CANFINHOME,1035473.05
CAPLIPOINT,1029870.43
TTKPRESTIG,1027545.73
PRAJIND,1021444.77
CERA,1020609.95
SWSOLAR,1007275.35
RENUKA,1003582.93
ROUTE,1001028.51
GRSE,1000325.34
EIDPARRY,988595.46
ACE,987378.32
GALAXYSURF,984135.28
INGERRAND,983106.44
GRANULES,982683.96
CEATLTD,981723.73
JKTYRE,980737.60
SCHNEIDER,978413.71
HAPPYFORGE,969603.75
ENGINERSIN,963621.65
GSFC,961924.76
ANANTRAJ,956408.28
JPPOWER,956057.51
SBFC,955656.81
KIRLOSENG,949669.80
